X (nmi), Y(nmi),xrot,yrot,long,lat,X (nmi), Y(nmi),xrot,yrot,long,lat,X (nmi), Y(nmi),xrot,yrot,long,lat,Longref,Latref,Rearth,rot
-1.319880849,-5.002565342,4.996802017,-1.341534592,-96.95182871,32.85662818,0.099017015,-3.53692181,3.537317481,0.08369767,-96.98077342,32.88036602,0.824716045,-2.753098631,2.756644657,0.812784634,-96.99625584,32.89250926,,,,
-1.316741576,-5.000104778,4.994355072,-1.338384692,-96.95187723,32.85668065,0.101059223,-3.535165105,3.535569637,0.085747467,-96.98080808,32.88040016,0.827326964,-2.750763946,2.754321302,0.815405639,-96.99630192,32.89255291,,,,
-1.313612383,-4.997651034,4.991914904,-1.335244901,-96.95192563,32.85673294,0.103086781,-3.533420666,3.533833996,0.087782561,-96.98084251,32.88043405,0.829929437,-2.74843682,2.752005469,0.818018167,-96.99634784,32.89259643,,,,
-1.310510499,-4.995217626,4.989494953,-1.332132507,-96.95197362,32.85678478,0.105102093,-3.531686594,3.532108669,0.089805364,-96.98087672,32.88046774,0.83251495,-2.746127144,2.749707012,0.820613659,-96.99639343,32.89263966,,,,
-1.307453152,-4.992818067,4.987108657,-1.329064796,-96.95202095,32.85683587,0.107107563,-3.529960993,3.530391769,0.091818289,-96.98091077,32.88050127,0.835074985,-2.743844809,2.747435786,0.823183555,-96.99643847,32.89268246,,,,
-1.30445757,-4.99046587,4.984769456,-1.326059055,-96.95206734,32.85688593,0.109105596,-3.528241963,3.528681409,0.093823748,-96.98094469,32.88053467,0.837601027,-2.741599706,2.745201645,0.825719297,-96.99648278,32.89272469,,,,
-1.301540983,-4.988174549,4.982490789,-1.323132571,-96.95211253,32.85693468,0.111098595,-3.526527607,3.526975701,0.095824154,-96.98097852,32.88056799,0.84008456,-2.739401726,2.743014441,0.828212326,-96.99652615,32.89276621,,,,
-1.298720619,-4.985957618,4.980286093,-1.320302632,-96.95215625,32.85698181,0.113088965,-3.524816028,3.525272758,0.097821918,-96.98101229,32.88060126,0.842517068,-2.73726076,2.740884031,0.830654083,-96.99656841,32.89280688,,,,
-1.296013706,-4.98382859,4.978168809,-1.317586524,-96.95219824,32.85702705,0.11507911,-3.523105327,3.523570692,0.099819453,-96.98104605,32.88063453,0.844890034,-2.735186699,2.738820267,0.83303601,-96.99660933,32.89284655,,,,
-1.293437474,-4.981800979,4.976152375,-1.315001534,-96.95223823,32.8570701,0.117071434,-3.521393606,3.521867616,0.101819172,-96.98107983,32.88066784,0.847194943,-2.733189435,2.736833004,0.835349548,-96.99664875,32.89288509,,,,
-1.291009159,-4.979888306,4.974250236,-1.312564958,-96.95227596,32.85711068,0.119068334,-3.519678974,3.520161649,0.10382348,-96.98111366,32.88070122,0.849423279,-2.731278857,2.734932095,0.837586138,-96.99668645,32.89292234,,,,
-1.28874064,-4.978099893,4.972471666,-1.310288715,-96.95231123,32.8571486,0.12107197,-3.517959681,3.51845105,0.105834544,-96.98114758,32.88073471,0.851566526,-2.729464858,2.733127395,0.839737221,-96.99672224,32.89295817,,,,
-1.286622487,-4.976428377,4.970809339,-1.308163343,-96.9523442,32.85718399,0.123083449,-3.516234639,3.516734735,0.107853474,-96.98118162,32.88076834,0.85361616,-2.727757333,2.731428763,0.841794231,-96.99675592,32.89299243,,,,
-1.284639931,-4.974862212,4.969251775,-1.306174022,-96.95237509,32.85721713,0.125103623,-3.51450291,3.515011773,0.10988113,-96.98121579,32.88080211,0.855567122,-2.726162284,2.729842179,0.843752083,-96.99678739,32.89302504,,,,
-1.2827782,-4.973389849,4.967787489,-1.304305932,-96.95240413,32.85724824,0.127133348,-3.512763563,3.513281232,0.111918368,-96.98125011,32.88083604,0.857428096,-2.724670214,2.728358183,0.845619502,-96.99681682,32.89305614,,,,
-1.281022524,-4.971999741,4.966404998,-1.302544252,-96.95243154,32.85727758,0.129173477,-3.511015661,3.511542182,0.113966049,-96.9812846,32.88087015,0.859211217,-2.723267742,2.726963447,0.84740868,-96.99684448,32.89308594,,,,
-1.279358132,-4.970680341,4.965092819,-1.300874161,-96.95245757,32.8573054,0.131224867,-3.509258268,3.509793691,0.116025031,-96.98131928,32.88090444,0.860928617,-2.721941487,2.725644642,0.849131808,-96.99687064,32.89311464,,,,
-1.277770254,-4.969420103,4.963839469,-1.29928084,-96.95248242,32.85733194,0.13328837,-3.507490452,3.508034828,0.118096171,-96.98135416,32.88093894,0.862592432,-2.720678068,2.724388441,0.850801079,-96.99689555,32.89314244,,,,
